area_code,area_name,name,operator,type,turbines,capacity,address,county,lon,lat
N09000004,Causeway Coast and Glens,Dunmore,TCI Renewables,Wind Onshore,7,3.00,"Town land of Dunmore approximately eight kilometres north east of Limavady, County Londonderry",Co. Derry / Londonderry,-6.888953792572507,55.068728410915554
E07000011,Huntingdonshire,Cotton Farm,Greencoat UK Wind,Wind Onshore,8,2.50,"Land between Graveley, Offord Darcy and Great Paxton",Cambridgeshire,-0.1952388258863744,52.26153031739894
E07000026,Allerdale,Land at Flimby Hall Farm (resubmission),Flimby Wind Energy Ltd,Wind Onshore,3,2.05,"Flimby, Maryport, Cumbria",Cumbria,-3.5139714381199902,54.68707391579074
E06000052,Cornwall,Carland Cross Wind Farm Repowering,Scottish Power Renewables,Wind Onshore,10,2.00,"Carland Cross, Mitchell, Truro",Cornwall,-5.030587332750386,50.35087964702718
E07000151,Daventry,Yelvertoft Wind Farm,Greencoat UK Wind,Wind Onshore,8,2.00,"Land Adjacent Glebe Farm, Hillmorton Lane, Yelvertoft (Access Off Rugby Road, Crick), Northamptonshire",Northamptonshire,-1.1511098189721614,52.37477999860972
S12000034,Aberdeenshire,Mains of Hatton,Eco2 /GreenCAT,Wind Onshore,3,0.80,"Kirktown of Auchterless
Aberdeenshire",Grampian,-2.0666876654823567,57.615296385210755
S12000008,East Ayrshire,Whitelee Windfarm Extension Phase 1,Scottish Power Renewables,Wind Onshore,36,3.00,"Eaglesham Moor, to the south of Glasgow",Strathclyde,-4.286777643533404,55.67715363329354
E06000034,Thurrock,Tilbury Docks,Scottish Equity Partners,Wind Onshore,4,3.00,"Installed from the Dock entrance along to the GradeII listed Cruise Terminal, Tilbury Docks, Tilbury",Essex,0.3368486136197144,51.457286931636126
E06000004,Stockton-on-Tees,Seamer Windfarm - Stockton on Tees,Broadview Energy,Wind Onshore,3,2.00,Between the villages of Hilton and Seamer on the Stockton-on-Tees and North Yorkshire boundaries.,County Durham,-1.2585208221258692,54.494171753648445
E06000047,County Durham,South Sharpley Wind Farm (Revised),REG Windpower (previously  Cornwall Light & Power),Wind Onshore,3,2.50,"South Sharpley Farm, near Seaham, County Durham",Durham,-1.4022141584231766,54.840420290388636
E07000031,South Lakeland,Armistead Wind Farm,Banks Renewables,Wind Onshore,6,2.00,"Land to the east of Crosslands Farm, near Old Hutton, Kendal South Lakeland, LA6 2QJ",Cumbria,-2.6388195341407594,54.276050001566865
E06000011,East Riding of Yorkshire,Withernwick,Energiekontor UK,Wind Onshore,9,2.00,"Land North And North East
Homer House
Aldbrough Road
Withernwick
East Riding Of Yorkshire",Humberside,-0.17256622302833835,53.845685690119964
S12000013,Na h-Eileanan Siar,Loch Sminig Wind Project,Urras Oighreachd Ghabhsainn,Wind Onshore,3,0.90,"Either side of the road between Baile an Truiseil and Upper Barvas, Stornoway, Isle of Lewis, HS2 0QX",Western Isles,-6.49302051891461,58.38355583416657
E06000011,East Riding of Yorkshire,Burton Pidsea (Wadworth Hill) Wind Farm,Aeolian Holderness Ltd,Wind Onshore,3,3.40,"Land North East Of
Wadworth Hill House
Greens Lane
Burton Pidsea
East Riding Of Yorkshire",Humberside,-0.11348195915908715,53.74919559062624
S12000017,Highland,Camster,E.ON UK,Wind Onshore,25,2.00,"Lower Camster
Lybster
Caithness",Highland,-3.2715144470917985,58.408650772578966
S12000023,Orkney Islands,Bu Farm,Longearth Ltd/ Farm Energy,Wind Onshore,3,0.90,"Rothiesholm, Bu Farm, Stronsay, Orkney",Orkney Islands,-2.660078974195644,59.09725265212304
S12000048,Perth and Kinross,Drumderg,Scottish and Southern Energy (SSE),Wind Onshore,16,2.30,"Drumderg Hill
Near Alyth
Perth",Tayside,-3.2320122639988194,56.62224632675279
S12000029,South Lanarkshire,Clyde Wind Farm,Scottish and Southern Energy (SSE)/ Greencoat UK Wind,Wind Onshore,152,2.30,"Clyde Wind farm, Lowther Hills, between Crawford and Nether Howecleuch,
NW of Lockerbie",Strathclyde,-3.542734237801424,55.441634088634764
S12000017,Highland,Novar Wind Farm (Extension),RWE npower,Wind Onshore,16,2.30,"Novar Estate
Evanton
Ross-shire",Highland,-4.426956444946071,57.70998667217196
S12000020,Moray,Hill of Towie (Drummuir),Renewable Energy Systems (RES),Wind Onshore,21,2.00,"Hill of Towie, Knockan and McHattie's Cairn, Drummuir, Keith, Banffshire, Moray",Grampian,-3.3410461136965766,57.62284106474373
